"Ozone (O3), lat=23.0916, lon=113.3480 [CN_1348A]"
"Station: CN_1348A"
"Time Period (UTC+8): 20201219-20201225"
"Time","Height","ppb","Source","Status","Method ID"
2020/12/23 14:00:00,0.0000,37.755100,"AQ_CNEMC",-1,0
2020/12/23 15:00:00,0.0000,45.408200,"AQ_CNEMC",-1,0
2020/12/23 16:00:00,0.0000,37.244900,"AQ_CNEMC",-1,0
2020/12/23 17:00:00,0.0000,32.653100,"AQ_CNEMC",-1,0
2020/12/23 18:00:00,0.0000,24.489800,"AQ_CNEMC",-1,0
2020/12/23 19:00:00,0.0000,11.734700,"AQ_CNEMC",-1,0
2020/12/23 20:00:00,0.0000,5.102040,"AQ_CNEMC",-1,0
2020/12/23 21:00:00,0.0000,2.551020,"AQ_CNEMC",-1,0
2020/12/23 22:00:00,0.0000,3.571430,"AQ_CNEMC",-1,0
2020/12/23 23:00:00,0.0000,2.040820,"AQ_CNEMC",-1,0
2020/12/24 00:00:00,0.0000,2.040820,"AQ_CNEMC",-1,0
2020/12/24 01:00:00,0.0000,1.530610,"AQ_CNEMC",-1,0
2020/12/24 02:00:00,0.0000,3.061220,"AQ_CNEMC",-1,0
2020/12/24 03:00:00,0.0000,3.571430,"AQ_CNEMC",-1,0
2020/12/24 04:00:00,0.0000,11.224500,"AQ_CNEMC",-1,0
2020/12/24 05:00:00,0.0000,15.816300,"AQ_CNEMC",-1,0
2020/12/24 06:00:00,0.0000,14.795900,"AQ_CNEMC",-1,0
2020/12/24 07:00:00,0.0000,11.224500,"AQ_CNEMC",-1,0
2020/12/24 08:00:00,0.0000,8.673470,"AQ_CNEMC",-1,0
2020/12/24 09:00:00,0.0000,9.183670,"AQ_CNEMC",-1,0
2020/12/24 10:00:00,0.0000,12.244900,"AQ_CNEMC",-1,0
2020/12/24 11:00:00,0.0000,18.877600,"AQ_CNEMC",-1,0
2020/12/24 12:00:00,0.0000,20.408200,"AQ_CNEMC",-1,0
2020/12/24 13:00:00,0.0000,26.020400,"AQ_CNEMC",-1,0
2020/12/24 14:00:00,0.0000,24.489800,"AQ_CNEMC",-1,0
2020/12/24 15:00:00,0.0000,23.469400,"AQ_CNEMC",-1,0
2020/12/24 16:00:00,0.0000,19.898000,"AQ_CNEMC",-1,0
2020/12/24 17:00:00,0.0000,21.938800,"AQ_CNEMC",-1,0
