"Respirable Suspended Particulates (RSPMC), lat=23.2783, lon=113.5680 [CN_1353A]"
"Station: CN_1353A"
"Time Period (UTC+8): 20201219-20201225"
"Time","Height","ug/m3","Source","Status","Method ID"
2020/12/21 21:00:00,0.0000,92.620800,"AQ_WAQI",-1,0
2020/12/21 22:00:00,0.0000,93.000000,"AQ_CNEMC",-1,0
2020/12/21 22:00:00,0.0000,90.640700,"AQ_WAQI",-1,0
2020/12/21 23:00:00,0.0000,86.000000,"AQ_CNEMC",-1,0
2020/12/21 23:00:00,0.0000,84.700600,"AQ_WAQI",-1,0
2020/12/22 00:00:00,0.0000,82.000000,"AQ_CNEMC",-1,0
2020/12/22 00:00:00,0.0000,80.740500,"AQ_WAQI",-1,0
2020/12/22 01:00:00,0.0000,70.000000,"AQ_CNEMC",-1,0
2020/12/22 01:00:00,0.0000,68.860300,"AQ_WAQI",-1,0
2020/12/22 02:00:00,0.0000,71.000000,"AQ_CNEMC",-1,0
2020/12/22 02:00:00,0.0000,68.860300,"AQ_WAQI",-1,0
2020/12/22 03:00:00,0.0000,72.000000,"AQ_CNEMC",-1,0
2020/12/22 03:00:00,0.0000,70.840300,"AQ_WAQI",-1,0
2020/12/22 04:00:00,0.0000,71.000000,"AQ_CNEMC",-1,0
2020/12/22 04:00:00,0.0000,68.860300,"AQ_WAQI",-1,0
2020/12/22 05:00:00,0.0000,70.000000,"AQ_CNEMC",-1,0
2020/12/22 05:00:00,0.0000,68.860300,"AQ_WAQI",-1,0
2020/12/22 06:00:00,0.0000,71.000000,"AQ_CNEMC",-1,0
2020/12/22 06:00:00,0.0000,68.860300,"AQ_WAQI",-1,0
2020/12/22 07:00:00,0.0000,70.000000,"AQ_CNEMC",-1,0
2020/12/22 07:00:00,0.0000,68.860300,"AQ_WAQI",-1,0
2020/12/22 08:00:00,0.0000,72.000000,"AQ_CNEMC",-1,0
2020/12/22 08:00:00,0.0000,70.840300,"AQ_WAQI",-1,0
2020/12/22 09:00:00,0.0000,73.000000,"AQ_CNEMC",-1,0
2020/12/22 10:00:00,0.0000,66.000000,"AQ_CNEMC",-1,0
2020/12/22 10:00:00,0.0000,64.900200,"AQ_WAQI",-1,0
2020/12/22 11:00:00,0.0000,64.000000,"AQ_CNEMC",-1,0
2020/12/22 11:00:00,0.0000,62.920200,"AQ_WAQI",-1,0
2020/12/22 12:00:00,0.0000,66.000000,"AQ_CNEMC",-1,0
2020/12/22 12:00:00,0.0000,64.900200,"AQ_WAQI",-1,0
2020/12/22 13:00:00,0.0000,62.000000,"AQ_CNEMC",-1,0
2020/12/22 13:00:00,0.0000,60.940100,"AQ_WAQI",-1,0
2020/12/22 14:00:00,0.0000,60.000000,"AQ_CNEMC",-1,0
2020/12/22 14:00:00,0.0000,58.960100,"AQ_WAQI",-1,0
2020/12/22 15:00:00,0.0000,57.000000,"AQ_CNEMC",-1,0
2020/12/22 15:00:00,0.0000,55.000000,"AQ_WAQI",-1,0
2020/12/22 16:00:00,0.0000,57.000000,"AQ_CNEMC",-1,0
2020/12/22 16:00:00,0.0000,55.000000,"AQ_WAQI",-1,0
2020/12/22 17:00:00,0.0000,60.000000,"AQ_CNEMC",-1,0
2020/12/22 17:00:00,0.0000,58.960100,"AQ_WAQI",-1,0
2020/12/22 18:00:00,0.0000,66.000000,"AQ_CNEMC",-1,0
2020/12/22 18:00:00,0.0000,64.900200,"AQ_WAQI",-1,0
2020/12/22 19:00:00,0.0000,83.000000,"AQ_CNEMC",-1,0
2020/12/22 19:00:00,0.0000,80.740500,"AQ_WAQI",-1,0
2020/12/22 23:00:00,0.0000,86.000000,"AQ_CNEMC",-1,0
